,Produto,Preco
52,Computador PC CPU Intel Core i5 8GB SSD 240GB HDMI FullHD Áudio 5.1 canais Wifi Quantum Star Slim,1909.0
53,"PC Gamer Completo AMD 6-Core CPU 3.8Ghz 8GB (Placa de vídeo Radeon R5 2GB) SSD 120GB Kit Gamer Skill Monitor HDMI LED 19.5"" Casual",2817.0
54,"All in One 24"" Full HD Intel Core i5 8GB SSD 240GB 3green Speed 2",4389.0
55,Computador Fácil Intel Core I3 2.93Ghz 4GB DDR3 SSD 120GB,1109.0
56,"Combo Gamer Nemesis Nmx Teclado Mecânico e Mouse Macro, 5+, Acessórios Para Computador",326.0
57,Computador Pc Cpu Intel Core i5 Com Hdmi 8GB HD 500GB Windows 10 Wifi Desktop,1539.0
58,"COMPUTADOR GAMER, SKUL, 5000 - I5 4570 3.2GHZ 8GB DDR3 HD 1TB GTX750TI 2GB FONTE 500W",3672.0
59,Computador Completo Intel Core i5 8gb SSD 240GB Monitor Hdmi,2889.0
60,Computador Pc Completo i5 3° Geração 8gb Hd 500GB + Wi-fi,2634.0
61,"Owfeel Webcam 1080P com microfone WebCam de Streaming para Desktop sem drive, em Full HD, Câmera de computador USB Plug and Play com foco automático rotativo de 360º para laptop/PC/Mac",63.0
62,COMPUTADOR GAMER SKUL 5000 - I5 9400F 2.9GHZ 9ª GER. MEM. 8GB DDR4 SSD 240GB GTX 1650 4GB FONTE 600W,5656.0
63,"ZIXING Webcam de computador HD 1080p, câmera Web de ângulo ultra grande com microfone de redução de ruído, adequada para computadores de mesa, laptop, PC, jogos, rede, ensino de conferência",173.0
64,Sangmei Cabo HDMI 2.1 Cabo HD com 8K de resolução 4K a 120Hz Visão 3D 48Gbps Largura de banda para o computador Smart Box Projector 3m,159.0
65,"Prasacco Capa para monitor de computador PU 24""",97.0
66,Pc Gamer Completo Maximus I5 GT 730 4GB 8GB Hd 1Tb Wi-fi,4199.0
67,Pc Gamer Bravus Intel i7 GTX 1650 16GB Hd 1TB SSD 120GB Wi-fi,8990.0
68,"Rato para jogos RGB sem fio, mouse de computador óptico USB de 2,4 GHz com RGB, 5 DPI ajustável até 3600, mouse de laptop ergonômico com 7 botões programáveis,rosa",159.0
69,Computador Pc Completo i5 3° Geração 8gb Hd 500GB + Wi-fi,2634.0
70,Headset Gamer com Microfone Fone de Ouvido Gamer Para Computador Notebook Ps4 Ps5 Xbox One Serie X e S,79.0
71,Cpu Intel Core I5 4gb Ssd 120.promoção,1140.0
