,Produto,Preco
57,"Computador Completo Intel I3 4Gb Hd 500 Gb
",2270.0
58,"Computador Completo Intel I3 8Gb Hd 500
",2390.0
59,"Computador Fácil Slim Intel 4GB HD 500GB
",1149.0
60,"Computador PC CPU Intel Core i5 2ªG 4GB HD 500GB Win 10
",1665.34
61,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 120GB HD 1TB Win 10
",2147.69
62,"Computador Desktop Icc Intel Core I7 3° Gen 8gb Hd 1tb
",2718.75
63,"Computador PC CPU Intel Core i5 2ªG 8GB HD 1TB Win 10
",1957.93
64,"Computador Fácil Slim Intel 4GB SSD 120GB
",1159.0
65,"Computador Completo Intel I3 8Gb Ssd 120Gb
",2599.0
66,"Computador PC CPU Intel Core i5 2ªG 4GB HD SSD240 Win 10
",1805.3
67,"Computador PC CPU Intel Core i5 2ªG 4GB HD SSD240 Win 10
",1806.45
68,"Computador PC CPU Intel Core i5 2ªG 4GB HD 1TB Win 10
",1826.39
69,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 240GB HD 1TB Win 10
",2252.36
70,"Computador Business B300 - I3-6100 3.7GHZ 4GB DDR3 SSD 120GB HDMI/VGA Fonte 200W
",2518.56
71,"Computador PC CPU Intel Core i5 2ªG 8GB HD SSD120 Win 10
",1827.11
72,"Computador Completo Fácil Slim Intel 4GB HD 500GB Monitor 19"" HDMI LED Teclado e Mouse
",1989.0
73,"Computador Corporate Intel Core I7 3° Gen 8gb Hd 1tb
",2718.75
74,"Computador Desktop Icc Intel Core I3 4° Gen 8gb Ssd 240gb
",1854.49
75,"Computador Completo Intel I5 8Gb Hd 500 Gb
",2749.0
76,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 120GB HD 1TB Win 10
",2151.69
77,"Computador Desktop Icc Intel Core I7 4° Gen 8gb Ram Ssd 120gb
",2753.79
78,"Computador PC CPU Intel Core i5 2ªG 4GB HD 120SSD Win 10
",1693.45
79,"Computador Completo Corporate Amd A10-9700 8 Gb 3 Tb Dvd  Monitor 19""
",3455.76
80,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 120 Gb Dvd  Monitor 19""
",3157.0
81,"Computador PC CPU Intel Core i5 2ªG 8GB HD SSD120 Win 10
",1829.44
82,"Computador PC CPU Intel Core i5 2ªG 4GB HD 500GB Win 10
",1669.21
83,"Computador  Intel Core I5 3.20 Ghz 4gb Hd 320gb Dvdrw Hdmi Full Hd Monitor Led 19,5
",2401.01
84,"Computador Desktop Icc Intel Core I7 4° Gen 8gb Hd 1tb
",2919.49
85,"Computador Desktop Icc Intel Core I7 4° Gen 8gb Ram Ssd 240gb
",2878.79
86,"Computador Desktop Icc Intel Core I5 4° Gen 8gb Hd 1tb
",2170.57
87,"Computador Desktop Icc Intel Core I5 4° Gen 8gb Hd 2tb
",2289.99
88,"Computador Gamer 01
",3850.0
89,"Computador Slim AMD 4700S 16GB SSD 120GB Windows 10 PRO Certo PC Corporate 704
",3776.99
90,"Computador Gamer 003
",1750.0
91,"Computador PC CPU Intel Core i5 2ªG 8GB HD 1TB Win 10
",1961.33
92,"Computador PC CPU Intel Core i5 2ªG 4GB HD 1TB Win 10
",1829.32
93,"Computador Desktop Icc Intel Core I7 4° Gen 8gb Hd 2 Tb
",3038.99
94,"Computador Completo Corporate Amd A10-9700 8 Gb 1 Tb Monitor 19""
",3225.96
95,"Computador PC CPU Intel Core i5 2ªG 8GB HD SSD240 Win 10
",1942.27
96,"Computador Desktop Intel Core I5 3.20 Ghz 4gb Hd 250gb Dvdrw  Hdmi Full Hd Monitor
",2401.01
97,"Computador Gamer 002
",3590.0
98,"Computador Desktop Icc Intel Core I5 4° Gen 8gb Ssd 240gb
",2129.9
99,"Computador Desktop Corporate Intel Core I5 3° Gen 8gb Ssd 240gb
",2631.39
100,"Computador Desktop Corporate Intel Core I5 3° Gen 8gb Ssd 120gb
",2506.45
101,"Computador Completo Icc Processador Amd Fm2 A10 4gb de Ram Hd 2 Tb Dvdrw Monitor 15
",2484.08
102,"Computador Desktop Icc Intel Core I3 4° Gen 8gb Hd 1tb
",1895.19
103,"Computador Intel Core i5 Memória RAM 8Gb SSD 240GB Completo
",2999.0
104,"Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB SSD 240GB
",2969.0
105,"Computador Completo Intel Core i5 8GB SSD 240GB Monitor LED 19.5"" HDMI CorPC Fast
",2528.69
106,"Computador Completo Intel I3 4GB de Ram SSD 120GB Windows 10 Pro Monitor Led 19`` + Teclado e Mouse
",1898.99
107,"Computador All In One LG Intel Celeron N4100, 4GB, 500GB, 21.5´, Windows 10 Home - 22V280-L.BY41P2
",4999.0
108,"Computador Completo Intel 8Gb De Ram Hd 500Gb.
",1311.99
109,"Computador Desktop Icc Iv2341s Intel Core I3 3.20 Ghz 4gb Hd 500gb Hdmi Full Hd
",1167.76
110,"Computador 5TECHPC + Monitor 17`` Mouse Teclado I5, 8Gb, SSD 120 GB, Win10 PRO WI-FI
",2890.0
111,"Computador Intel 8Gb Ram Hd 500Gb Monitor Teclado E Mouse
",2684.99
112,"Computador Micro Positivo Union I581Tbi, Intel Core i5-8250U, 8GB RAM, 1TB, Tela 22"", Linux, Preto
",7989.99
113,"Computador Gamer Completo I7 8º Ger 32Gb Ssd 480 Gb Hd 4Tb
",15011.84
114,"Computador Zion J1800 Ssd 120gb 4gb Elgin Bivolt
",1521.0
115,"Computador I5 4Gb Ram Hd 500Gb C/Monitor Teclado E Mouse
",2319.99
116,"Computador Completo Intel 8Gb De Ram Hd 500Gb.
",1311.99
117,"Computador Cpu Pc Intel Core I5 8Gb Ssd 240Gb
",1567.99
118,"Computador I5 8Gb Ram Hd 500Gb Com Monitor Teclado E Mouse
",2744.99
119,"Computador I3 4Gb Ram Hd 500Gb Com Monitor Teclado E Mouse
",2214.99
120,"Computador Completo Intel 8Gb De Ram Hd 500Gb.
",1311.99
121,"Computador Completo Intel 8Gb De Ram Hd 500Gb.
",1311.99
122,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 240 Gb Dvd Monitor 19""
",3281.94
123,"Computador Completo Corporate Amd A10-9700 8 Gb 500 Gb Dvd Monitor 19""
",3123.04
124,"Computador Completo Corporate Amd A10-9700 8 Gb 2 Tb Dvd Monitor 19"" Windows 10
",3670.32
125,"Computador Completo Corporate Amd A10-9700 8 Gb 2 Tb Monitor 19""
",3345.35
126,"Computador Icc Desktop Intel Core I3 3° Gen 8gb Hd 2tb
",1786.49
127,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 120 Gb Monitor 19""
",3060.44
128,"Computador Corporate Desktop Intel Core I3 3° Gen 8gb Hd 2tb
",1786.49
129,"Computador Completo Corporate I3 4gb Hd 2tb Monitor 15
",2104.91
130,"Computador Desktop Intel Core I5 32ghz 4gb Hd 320gb Dvdrw
",1415.05
131,"Computador Corporate I3 4gb Hd 2tb Kit Multimídia Windows 10
",1771.1
132,"Computador Completo Corporate Amd A10-9700 8 Gb 1 Tb Dvd Monitor 19""
",3322.68
133,"Computador Desktop Intel Core I5 3,2ghz 4gb Hd 320gb Dvdrw Hdmi Full Hd Windows
",1642.97
134,"Computador Completo Corporate Amd A10-9700 8 Gb 500 Gb Dvd Monitor 19"" Windows 10
",3351.18
135,"Computador Completo Corporate Amd A10-9700 8 Gb 2 Tb Monitor 19"" Windows 10
",3573.27
136,"Computador Intel Core I5 3.20 Ghz 4gb Hd 320gb Dvdrw Hdmi Full Hd Monitor Led 195
",2173.09
137,"Computador Desktop  Intel Core I5 3.20 Ghz 4gb Hd 250gb Dvdrw  Hdmi Full Hd Monitor L
",2173.08
138,"Computador Completo Corporate Amd A10-9700 8 Gb 1 Tb Monitor 19"" Windows 10
",3453.88
139,"Computador Desktop Intel Core I5 32 Ghz 4gb Hd 2tb Hdmi Full Hd
",1681.52
140,"Computador Completo Corporate Amd A10-9700 8 Gb 2 Tb Dvd  Monitor 19""
",3442.18
141,"Computador Desktop I3 4gb 120gb Ssd Monitor 15 Windows 10
",2047.93
142,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 240 Gb Dvd Monitor 19"" Windows 10
",3510.08
143,"Computador 5Techpc I5 8Gb Ssd120Gb Windows 10 Pro+ Wifi
",2288.64
144,"Computador 5Techpc Intel I516Gb Ssd 480 Hd3 Tb W10Pro + Wifi
",3727.99
145,"Computador Desktop Icc Intel Core I5 3° Gen 8gb Ssd 240gb
",2631.39
146,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 240 Gb Monitor 19"" Windows 10
",3416.52
147,"Computador Desktop Icc Intel Core I3 4° Gen 8gb Hd 2tb
",2014.56
148,"Computador Completo Corporate Amd A10-9700 8 Gb 3 Tb Dvd Monitor 19"" Windows 10
",3683.9
149,"Computador Desktop Icc Intel Core I5 3° Gen 8gb Ssd 120gb
",2506.45
150,"Computador Completo Corporate Amd A10-9700 8 Gb 1 Tb Dvd Monitor 19"" Windows 10
",3550.82
151,"Computador 5Techpc I5 8Gb Ssd 120Gb Win 10 Wifi
",2278.64
152,"Computador Intel Core I5 3.20Ghz 4gb Hd 2tb Hdmi Full Hd Monitor Led
",2243.25
153,"Computador Completo  Intel Core I5 3.20 Ghz 4gb Hd 250gb Monitor 15
",1976.02
154,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 8GB DDR4 SSD 240GB
",3069.0
155,"Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB HD 1TB
",3049.0
156,"Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB SSD 120GB
",2899.0
157,"Computador Intel Core i3 4GB DDR3 SSD 240GB
",1359.0
158,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 8GB DDR4 SSD 120GB
",2959.0
159,"Computador Intel Core i3 4GB DDR3 HD 500GB
",1229.0
160,"Computador Intel Core i5 8GB DDR3 SSD 240gb
",1749.0
161,"Computador Intel Core i5 8GB DDR3 SSD 120GB
",1629.0
162,"Computador Fácil Intel Core i5 9400f (Nona Geração) 4GB DDR4 GeForce Nvidia 1GB HD 500GB
",2699.0
163,"Computador Intel Core i5 8GB DDR3 HD 1TB
",1749.0
164,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 16GB DDR4 SSD 120GB
",3319.0
165,"Computador Intel Core i5 8GB DDR3 HD 500GB
",1589.0
166,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 16GB DDR4 SSD 960GB
",4129.0
167,"Computador Intel Core i3 4GB DDR3 SSD 240GB
",1359.0
168,"Computador Fácil Intel Core i5 9400f (Nona Geração) 4GB DDR4 GeForce Nvidia 1GB HD 1TB
",2909.0
169,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 8GB DDR4 HD 500GB
",2929.0
170,"Computador Intel Core i5 8GB DDR3 SSD 240gb
",1749.0
171,"Computador Intel Core i3 4GB DDR3 HD 500GB
",1229.0
172,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 120 Gb Dvd Monitor 19"" Windows 10
",3385.14
173,"Computador Home H100 - Celeron Dual Core J1800 2.41Ghz 4Gb
",1484.8
174,"Computador Desktop  Intel Core I5 32 Ghz 4gb Hd 250gb Kit Multimídia
",1414.28
175,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 8GB DDR4 SSD 960GB
",3759.0
