,Produto,Preco
425,"Computador Completo Skill HomeWork Monitor HDMI LED 19.5"" Intel Dual Core 4GB SSD 60GB HDMI Full HD",1674.49
480,"Computador Completo PC CPU Flex ASUS Intel Core I5 16GB HD 1Tb Com Kit Monitor 19""",2809.44
1009,"Computador Completo AMD Athlon 3000G 4GB (Placa de vídeo RADEON R5) SSD 120GB Monitor 19"" HDMI Windows 10 Pro HDMIL Full HD DC2",2447.99
549,Computador PC CPU Intel Core i3 8GB HD 500GB HDMI FullHD Áudio 5.1 canais Quantum Star,1276.79
822,Computador Desktop Intel Core i7 8GB HD 500GB HDMI Full HD Wifi EasyPC Super,2284.79
731,Computador Pc Cpu Intel Core i5 com Hdmi 8GB SSD 120GB Windows 10 Wifi Desktop,1490.55
336,"Computador Completo PC CPU Flex ASUS Intel Core i3 4GB HD 500Gb Com Kit Monitor 15""",2208.75
763,"Computador Desktop ICC IV2582DWM19 Intel Core I5 3.20 ghz 8GB HD 1TB DVDR Monitor 19,5 Windows 10",2311.15
268,"Computador Completo Intel Core i5 8GB SSD 240GB Windows 10 HDMI Wifi dual band Monitor 15"" EasyPC Desktop",3349.99
838,"Computador Intel Core I5 3.2ghz, 8gb Ddr3, Ssd 120gb",1518.01
1016,"Computador Completo Intel Core i3 16GB SSD 240GB Monitor LED 19.5"" HDMI EasyPC Go",2368.79
1039,"Computador Completo Fácil Intel 4GB SSD 120GB Monitor 19"" HDMI LED Teclado e Mouse",1949.0
460,"Computador HP ProDesk 400 G6 Mini, Core I5, 16GB, 256GB SSD, Windows 10 Pro - 399C6LA",5039.67
842,"Computador ICC IV2546KM19 Intel Core I5 3.20 ghz 4GB HD 120GB SSD Kit Multimídia Monitor LED 19,5",1852.15
296,Computador Desktop Quantum Expert QE31501MD Intel Core i3 3GHZ 4GB HD 500GB Kit Multimídia e Monitor LED HDMI,1741.73
393,"Computador Completo Intel Core i7 8GB HD 500GB Mouse teclado mousepad Monitor 19"" HDMI Quantum Premium",3183.59
537,Computador ICC Core I5 3.20ghz 8GB HD 240GB SSD Kit Multimídia Monitor LED HDMI FULLHD,1920.15
660,"Computador HP 805 G6 Ryzen 5 Pro, 8gb, 256gb SSD, Windows Home - 4A7B8LA",4776.48
1014,Computador Completo Intel i3 4GB de RAM SSD 120GB Windows 10 PRO Com Monitor 15” ,1879.99
904,Computador Desktop Completo com Monitor LED HDMI Intel Core i5 12GB HD 3TB mouse e teclado CorPC CPFS-I508 Fullset,2729.99
259,"Computador Completo Intel Core i5 4GB SSD 240GB Windows 10 HDMI Wifi dual band Monitor 19"" EasyPC Desktop",2729.99
1026,Computador Gamer Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GT 420 4GB 128 bits SSD 120GB Fonte 500W,3258.54
377,"Computador Completo Intel Core i7 8GB HD 500GB Monitor LED 19.5"" HDMI EasyPC Go",2687.99
882,Computador Gamer Completo com Monitor LED Intel Core i5 8GB HD 1TB (Nvidia Geforce GT 2GB) Kit Gamer EasyPC Stronger,3082.79
366,Computador Fácil Intel Core i5 8GB HD 2TB,1486.94
1028,"Computador Completo Intel Core i5 6GB HD 500GB Monitor LED 15.6"" HDMI EasyPC Go",1957.19
824,Computador Intel Core i5 6GB HD 500GB EasyPC Go,1360.79
282,Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB HD 1TB,2639.34
669,Computador Smart PC SMT81961 Intel i5 8GB SSD 120GB,1412.69
81,Computador Desktop Completo com Monitor LED HDMI Intel Core i5 8GB HD 500GB com caixas de som mouse e teclado CorPC Standard Plus,2174.76
243,Computador Desktop Dell XPS 8940-A10 10ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Preto,4949.1
656,Computador DELL Core i5 4ª Geração 8Gb Ssd 120Gb Windows 10,2280.0
687,Computador Fácil AMD ATHLON 3000G 8GB DDR4 2666Mhz HD 1TB Radeon Vega 3,1830.94
202,"Computador Gamer Asus Intel Core I5, 8GB, SSD 240GB, HDMI, Wi-Fi, Led",2041.55
84,"Computador Completo Intel Core i3 RAM 4GB HD 500GB Monitor 19.5"" LED Quantum Home and Business",1805.57
47,"Computador Completo Intel Core i5 10GB SSD 240GB Monitor 19.5"" LED HDMI Wifi EasyPC Deca",2587.61
201,"Computador Gamer Intel Core I5, 8GB, HD 1TB, GeForce GT 710 2GB",1880.99
635,Computador completo intel 8gb de ram hd 500gb.,1219.93
985,Computador Fácil Asus Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB SSD 120GB,2647.94
375,"Computador Desktop Icc Intel Core I3 3.20 Ghz 4gb Hd 120gb Ssd Hdmi Full Hd Monitor Led 19,5""",1614.15
288,"Computador Completo Intel 10ª Geração G5905 com Windows 10 Professional Monitor 19.5"" HDMI 4GB SSD 120GB Skill MSW Slim",2490.49
666,"Computador Completo Fácil Intel Core i5 9400f (Nona Geração) 16GB DDR4 GeForce Nvidia SSD 240GB Monitor 21,5"" HDMI LED",3894.94
16,Computador Intel Core i5 8GB HD 500GB Mouse teclado mousepad Quantum Premium,1915.19
923,Kit Computador Monitor Teclado Lenovo I3 4160 120SSD WIFI,2270.0
749,"Computador ICC IV2583KM19 Intel Core I5 3.20 ghz 8GB HD 2TB Kit Multimídia Monitor LED 19,5"" FULLHD",2217.65
